Stuid,Form,Subject_Taken,AvgMarkObtained
G1,1,ART_F1,79.83
G1,1,COMP SC_F1,77.76
G1,1,ELA_F1,75.33
G1,1,FRE_F1,67.67
G1,1,GEO_F1,66.67
G1,1,HIS_F1,68.67
G1,1,MTH_F1,65.59
G1,1,RE_F1,62.02
G1,1,SCI_F1,81.33
G1,1,SH_F1,47.33
G1,2,ART_F2,82.14
G1,2,COMP SC_F2,67.46
G1,2,ELA_F2,71.03
G1,2,FRE_F2,50.3
G1,2,GEO_F2,67.33
G1,2,HIS_F2,63.09
G1,2,MTH_F2,43
G1,2,RE_F2,66.33
G1,2,SCI_F2,74.36
G1,2,SH_F2,37.63
G1,3_4,ACC_F3&4,0
G1,3_4,ART_F3&4,68.94
G1,3_4,BIOL_F3&4,52.93
G1,3_4,BST_F3&4,0
G1,3_4,CHEM_F3&4,52.87
G1,3_4,COMP SC_F3&4,0
G1,3_4,D&T_F3&4,0
G1,3_4,ELA_F3&4,59.4
G1,3_4,ELIT_F3&4,45
G1,3_4,FRE_F3&4,63.05
G1,3_4,GEO_F3&4,73.23
G1,3_4,HIS_F3&4,0
G1,3_4,ICT_F3&4,0
G1,3_4,MTH_F3&4,42.16
G1,3_4,PED_F3&4,0
G1,3_4,PHY_F3&4,55.65
G1,3_4,RE_F3&4,72.37
G2,1,ART_F1,66
G2,1,COMP SC_F1,79.56
G2,1,ELA_F1,58.56
G2,1,FRE_F1,47.69
G2,1,GEO_F1,73
G2,1,HIS_F1,65.11
G2,1,MTH_F1,73.22
G2,1,RE_F1,62.67
G2,1,SCI_F1,72.67
G2,1,SH_F1,69
G2,2,ART_F2,73.92
G2,2,COMP SC_F2,61.33
G2,2,ELA_F2,45.5
G2,2,FRE_F2,57.61
G2,2,GEO_F2,79.18
G2,2,HIS_F2,52.13
G2,2,MTH_F2,70.98
G2,2,RE_F2,56.46
G2,2,SCI_F2,77.85
G2,2,SH_F2,63.56
G2,3_4,ACC_F3&4,0
G2,3_4,ART_F3&4,48.1
G2,3_4,BIOL_F3&4,0
G2,3_4,BST_F3&4,0
G2,3_4,CHEM_F3&4,54.13
G2,3_4,COMP SC_F3&4,0
G2,3_4,D&T_F3&4,73.28
G2,3_4,ELA_F3&4,47.47
G2,3_4,ELIT_F3&4,56.5
G2,3_4,FRE_F3&4,70.23
G2,3_4,GEO_F3&4,53.86
G2,3_4,HIS_F3&4,0
G2,3_4,ICT_F3&4,0
G2,3_4,MTH_F3&4,72.22
G2,3_4,PED_F3&4,0
G2,3_4,PHY_F3&4,58.6
G2,3_4,RE_F3&4,43.67
G3,1,ART_F1,62.33
G3,1,COMP SC_F1,38.28
G3,1,ELA_F1,44
G3,1,FRE_F1,42.33
G3,1,GEO_F1,43.33
G3,1,HIS_F1,48.67
G3,1,MTH_F1,41
G3,1,RE_F1,64
G3,1,SCI_F1,57
G3,1,SH_F1,80.67
G3,2,ART_F2,58.22
G3,2,COMP SC_F2,51.5
G3,2,ELA_F2,55.98
G3,2,FRE_F2,32.19
G3,2,GEO_F2,41.27
G3,2,HIS_F2,41.1
G3,2,MTH_F2,20.67
G3,2,RE_F2,58
G3,2,SCI_F2,45.71
G3,2,SH_F2,64.83
G3,3_4,ACC_F3&4,0
G3,3_4,ART_F3&4,0
G3,3_4,BIOL_F3&4,0
G3,3_4,BST_F3&4,22.21
G3,3_4,CHEM_F3&4,12.16
G3,3_4,COMP SC_F3&4,13.9
G3,3_4,D&T_F3&4,32.41
G3,3_4,ELA_F3&4,44.6
G3,3_4,ELIT_F3&4,41.38
G3,3_4,FRE_F3&4,6.93
G3,3_4,GEO_F3&4,35.27
G3,3_4,HIS_F3&4,10.65
G3,3_4,ICT_F3&4,33.96
G3,3_4,MTH_F3&4,21.73
G3,3_4,PED_F3&4,44.04
G3,3_4,PHY_F3&4,42.42
G3,3_4,RE_F3&4,40.82
G4,1,ART_F1,66.17
G4,1,COMP SC_F1,83
G4,1,ELA_F1,72.82
G4,1,FRE_F1,64.98
G4,1,GEO_F1,77.67
G4,1,HIS_F1,68.75
G4,1,MTH_F1,60.93
G4,1,RE_F1,78.19
G4,1,SCI_F1,69.67
G4,1,SH_F1,86
G4,2,ART_F2,57.83
G4,2,COMP SC_F2,81.67
G4,2,ELA_F2,65
G4,2,FRE_F2,53.06
G4,2,GEO_F2,68.15
G4,2,HIS_F2,69
G4,2,MTH_F2,79.74
G4,2,RE_F2,73.5
G4,2,SCI_F2,83
G4,2,SH_F2,73.31
G4,3_4,ACC_F3&4,48.89
G4,3_4,ART_F3&4,0
G4,3_4,BIOL_F3&4,0
G4,3_4,BST_F3&4,0
G4,3_4,CHEM_F3&4,52.63
G4,3_4,COMP SC_F3&4,0
G4,3_4,D&T_F3&4,75.7
G4,3_4,ELA_F3&4,59.63
G4,3_4,ELIT_F3&4,46.67
G4,3_4,FRE_F3&4,59.82
G4,3_4,GEO_F3&4,0
G4,3_4,HIS_F3&4,0
G4,3_4,ICT_F3&4,80.64
G4,3_4,MTH_F3&4,66.54
G4,3_4,PED_F3&4,0
G4,3_4,PHY_F3&4,57.17
G4,3_4,RE_F3&4,66.54
G5,1,ART_F1,67.33
G5,1,COMP SC_F1,56.67
G5,1,ELA_F1,64.31
G5,1,FRE_F1,37.94
G5,1,GEO_F1,47.74
G5,1,HIS_F1,41.33
G5,1,MTH_F1,63.96
G5,1,RE_F1,63.33
G5,1,SCI_F1,43.99
G5,1,SH_F1,42.63
G5,2,ART_F2,45.19
G5,2,COMP SC_F2,55.25
G5,2,ELA_F2,42
G5,2,FRE_F2,60.6
G5,2,GEO_F2,34.67
G5,2,HIS_F2,57.26
G5,2,MTH_F2,61.94
G5,2,RE_F2,50.76
G5,2,SCI_F2,35.76
G5,2,SH_F2,49.33
G5,3_4,ACC_F3&4,40.12
G5,3_4,ART_F3&4,0
G5,3_4,BIOL_F3&4,57.32
G5,3_4,BST_F3&4,0
G5,3_4,CHEM_F3&4,47.88
G5,3_4,COMP SC_F3&4,0
G5,3_4,D&T_F3&4,0
G5,3_4,ELA_F3&4,36.6
G5,3_4,ELIT_F3&4,19.5
G5,3_4,FRE_F3&4,60.2
G5,3_4,GEO_F3&4,0
G5,3_4,HIS_F3&4,39.47
G5,3_4,ICT_F3&4,0
G5,3_4,MTH_F3&4,51.24
G5,3_4,PED_F3&4,0
G5,3_4,PHY_F3&4,47.05
G5,3_4,RE_F3&4,70.8
G6,1,ART_F1,53.67
G6,1,COMP SC_F1,81.67
G6,1,ELA_F1,59.17
G6,1,FRE_F1,79.97
G6,1,GEO_F1,75.33
G6,1,HIS_F1,60.63
G6,1,MTH_F1,60.26
G6,1,RE_F1,46.33
G6,1,SCI_F1,70
G6,1,SH_F1,47.7
G6,2,ART_F2,48.09
G6,2,COMP SC_F2,45.67
G6,2,ELA_F2,42.52
G6,2,FRE_F2,78.17
G6,2,GEO_F2,57.97
G6,2,HIS_F2,49.23
G6,2,MTH_F2,64.94
G6,2,RE_F2,68.17
G6,2,SCI_F2,76.36
G6,2,SH_F2,40.68
G6,3_4,ACC_F3&4,28.97
G6,3_4,ART_F3&4,0
G6,3_4,BIOL_F3&4,47.88
G6,3_4,BST_F3&4,0
G6,3_4,CHEM_F3&4,54.87
G6,3_4,COMP SC_F3&4,47.38
G6,3_4,D&T_F3&4,0
G6,3_4,ELA_F3&4,19.35
G6,3_4,ELIT_F3&4,23.5
G6,3_4,FRE_F3&4,48.31
G6,3_4,GEO_F3&4,0
G6,3_4,HIS_F3&4,0
G6,3_4,ICT_F3&4,0
G6,3_4,MTH_F3&4,55.06
G6,3_4,PED_F3&4,0
G6,3_4,PHY_F3&4,34.06
G6,3_4,RE_F3&4,49.5
G7,1,ART_F1,54.33
G7,1,COMP SC_F1,69
G7,1,ELA_F1,46.21
G7,1,FRE_F1,31.9
G7,1,GEO_F1,46.67
G7,1,HIS_F1,61
G7,1,MTH_F1,33.7
G7,1,RE_F1,53.72
G7,1,SCI_F1,52.56
G7,1,SH_F1,55.67
G7,2,ART_F2,42.37
G7,2,COMP SC_F2,65.69
G7,2,ELA_F2,50
G7,2,FRE_F2,30.15
G7,2,GEO_F2,60
G7,2,HIS_F2,55.68
G7,2,MTH_F2,28.77
G7,2,RE_F2,62
G7,2,SCI_F2,43.73
G7,2,SH_F2,26
G7,3_4,ACC_F3&4,0
G7,3_4,ART_F3&4,0
G7,3_4,BIOL_F3&4,0
G7,3_4,BST_F3&4,42.11
G7,3_4,CHEM_F3&4,0
G7,3_4,COMP SC_F3&4,0
G7,3_4,D&T_F3&4,36.67
G7,3_4,ELA_F3&4,58.1
G7,3_4,ELIT_F3&4,0
G7,3_4,FRE_F3&4,0
G7,3_4,GEO_F3&4,36.43
G7,3_4,HIS_F3&4,0
G7,3_4,ICT_F3&4,46.31
G7,3_4,MTH_F3&4,40.7
G7,3_4,PED_F3&4,46.7
G7,3_4,PHY_F3&4,54.58
G7,3_4,RE_F3&4,63.73
G8,1,ART_F1,41
G8,1,COMP SC_F1,62.19
G8,1,ELA_F1,46.06
G8,1,FRE_F1,23.92
G8,1,GEO_F1,49.33
G8,1,HIS_F1,59
G8,1,MTH_F1,45.8
G8,1,RE_F1,38.69
G8,1,SCI_F1,48.33
G8,1,SH_F1,46
G8,2,ART_F2,37.43
G8,2,COMP SC_F2,69.56
G8,2,ELA_F2,45.34
G8,2,FRE_F2,17.98
G8,2,GEO_F2,32.9
G8,2,HIS_F2,38.67
G8,2,MTH_F2,45.84
G8,2,RE_F2,48.2
G8,2,SCI_F2,37.67
G8,2,SH_F2,30.73
G8,3_4,ACC_F3&4,0
G8,3_4,ART_F3&4,0
G8,3_4,BIOL_F3&4,31.59
G8,3_4,BST_F3&4,47.38
G8,3_4,CHEM_F3&4,0
G8,3_4,COMP SC_F3&4,0
G8,3_4,D&T_F3&4,35.8
G8,3_4,ELA_F3&4,51.57
G8,3_4,ELIT_F3&4,0
G8,3_4,FRE_F3&4,0
G8,3_4,GEO_F3&4,33.26
G8,3_4,HIS_F3&4,35.93
G8,3_4,ICT_F3&4,50.14
G8,3_4,MTH_F3&4,35.82
G8,3_4,PED_F3&4,0
G8,3_4,PHY_F3&4,0
G8,3_4,RE_F3&4,50.47
G9,1,ART_F1,46
G9,1,COMP SC_F1,74.33
G9,1,ELA_F1,72.61
G9,1,FRE_F1,32.29
G9,1,GEO_F1,50.42
G9,1,HIS_F1,72.43
G9,1,MTH_F1,56.19
G9,1,RE_F1,61.33
G9,1,SCI_F1,62.85
G9,1,SH_F1,38.07
G9,2,ART_F2,34.87
G9,2,COMP SC_F2,39.29
G9,2,ELA_F2,42.83
G9,2,FRE_F2,25.61
G9,2,GEO_F2,55.71
G9,2,HIS_F2,36.78
G9,2,MTH_F2,18.88
G9,2,RE_F2,43.6
G9,2,SCI_F2,36.78
G9,2,SH_F2,35.43
G9,3_4,ACC_F3&4,0
G9,3_4,ART_F3&4,0
G9,3_4,BIOL_F3&4,0
G9,3_4,BST_F3&4,58.48
G9,3_4,CHEM_F3&4,0
G9,3_4,COMP SC_F3&4,0
G9,3_4,D&T_F3&4,48.4
G9,3_4,ELA_F3&4,57.05
G9,3_4,ELIT_F3&4,45.5
G9,3_4,FRE_F3&4,0
G9,3_4,GEO_F3&4,59.06
G9,3_4,HIS_F3&4,46.43
G9,3_4,ICT_F3&4,39.89
G9,3_4,MTH_F3&4,25.16
G9,3_4,PED_F3&4,0
G9,3_4,PHY_F3&4,35.27
G9,3_4,RE_F3&4,70.2
G10,1,ART_F1,72.33
G10,1,COMP SC_F1,55
G10,1,ELA_F1,59
G10,1,FRE_F1,35.49
G10,1,GEO_F1,44.44
G10,1,HIS_F1,70.33
G10,1,MTH_F1,31.25
G10,1,RE_F1,57.46
G10,1,SCI_F1,57.16
G10,1,SH_F1,18.33
G10,2,ART_F2,74.13
G10,2,COMP SC_F2,46.78
G10,2,ELA_F2,51.46
G10,2,FRE_F2,20.68
G10,2,GEO_F2,54.56
G10,2,HIS_F2,55.67
G10,2,MTH_F2,19.66
G10,2,RE_F2,63.67
G10,2,SCI_F2,51.44
G10,2,SH_F2,17.33
G10,3_4,ACC_F3&4,0
G10,3_4,ART_F3&4,34.44
G10,3_4,BIOL_F3&4,47.83
G10,3_4,BST_F3&4,30.09
G10,3_4,CHEM_F3&4,0
G10,3_4,COMP SC_F3&4,0
G10,3_4,D&T_F3&4,31.87
G10,3_4,ELA_F3&4,41.82
G10,3_4,ELIT_F3&4,0
G10,3_4,FRE_F3&4,0
G10,3_4,GEO_F3&4,44.23
G10,3_4,HIS_F3&4,30.9
G10,3_4,ICT_F3&4,0
G10,3_4,MTH_F3&4,29.98
G10,3_4,PED_F3&4,0
G10,3_4,PHY_F3&4,0
G10,3_4,RE_F3&4,42.07
G11,1,ART_F1,32.83
G11,1,COMP SC_F1,28.04
G11,1,ELA_F1,28.49
G11,1,FRE_F1,29.08
G11,1,GEO_F1,27
G11,1,HIS_F1,63
G11,1,MTH_F1,24.64
G11,1,RE_F1,31.38
G11,1,SCI_F1,38.33
G11,1,SH_F1,61
G11,2,ART_F2,17.19
G11,2,COMP SC_F2,55.53
G11,2,ELA_F2,34.36
G11,2,FRE_F2,18.53
G11,2,GEO_F2,18.62
G11,2,HIS_F2,32.67
G11,2,MTH_F2,20.37
G11,2,RE_F2,45.73
G11,2,SCI_F2,34.35
G11,2,SH_F2,55.56
G11,3_4,ACC_F3&4,0
G11,3_4,ART_F3&4,0
G11,3_4,BIOL_F3&4,34.94
G11,3_4,BST_F3&4,44.76
G11,3_4,CHEM_F3&4,0
G11,3_4,COMP SC_F3&4,0
G11,3_4,D&T_F3&4,23.6
G11,3_4,ELA_F3&4,42.94
G11,3_4,ELIT_F3&4,0
G11,3_4,FRE_F3&4,0
G11,3_4,GEO_F3&4,33.36
G11,3_4,HIS_F3&4,39.43
G11,3_4,ICT_F3&4,42.28
G11,3_4,MTH_F3&4,46.54
G11,3_4,PED_F3&4,0
G11,3_4,PHY_F3&4,0
G11,3_4,RE_F3&4,44.94
G12,1,ART_F1,81.33
G12,1,COMP SC_F1,90
G12,1,ELA_F1,67.67
G12,1,FRE_F1,50.28
G12,1,GEO_F1,75.9
G12,1,HIS_F1,77.21
G12,1,MTH_F1,81.17
G12,1,RE_F1,46.67
G12,1,SCI_F1,80
G12,1,SH_F1,86.67
G12,2,ART_F2,80.39
G12,2,COMP SC_F2,86.61
G12,2,ELA_F2,65.47
G12,2,FRE_F2,72.42
G12,2,GEO_F2,80.84
G12,2,HIS_F2,83.5
G12,2,MTH_F2,73.5
G12,2,RE_F2,83.58
G12,2,SCI_F2,83.17
G12,2,SH_F2,74.33
G12,3_4,ACC_F3&4,0
G12,3_4,ART_F3&4,0
G12,3_4,BIOL_F3&4,0
G12,3_4,BST_F3&4,0
G12,3_4,CHEM_F3&4,72.81
G12,3_4,COMP SC_F3&4,0
G12,3_4,D&T_F3&4,87.9
G12,3_4,ELA_F3&4,70.83
G12,3_4,ELIT_F3&4,67
G12,3_4,FRE_F3&4,71.73
G12,3_4,GEO_F3&4,76.27
G12,3_4,HIS_F3&4,0
G12,3_4,ICT_F3&4,80.92
G12,3_4,MTH_F3&4,74.69
G12,3_4,PED_F3&4,0
G12,3_4,PHY_F3&4,75.06
G12,3_4,RE_F3&4,78.51
G13,1,ART_F1,68.17
G13,1,COMP SC_F1,80.83
G13,1,ELA_F1,60
G13,1,FRE_F1,66.28
G13,1,GEO_F1,78.5
G13,1,HIS_F1,73.72
G13,1,MTH_F1,88.05
G13,1,RE_F1,70
G13,1,SCI_F1,74
G13,1,SH_F1,30
G13,2,ART_F2,43.22
G13,2,COMP SC_F2,67.57
G13,2,ELA_F2,78.22
G13,2,FRE_F2,64
G13,2,GEO_F2,71.51
G13,2,HIS_F2,71.33
G13,2,MTH_F2,84.06
G13,2,RE_F2,61.92
G13,2,SCI_F2,72.79
G13,2,SH_F2,29.67
G13,3_4,ACC_F3&4,55.79
G13,3_4,ART_F3&4,0
G13,3_4,BIOL_F3&4,0
G13,3_4,BST_F3&4,0
G13,3_4,CHEM_F3&4,50.17
G13,3_4,COMP SC_F3&4,51.97
G13,3_4,D&T_F3&4,61.54
G13,3_4,ELA_F3&4,41.63
G13,3_4,ELIT_F3&4,16
G13,3_4,FRE_F3&4,60.65
G13,3_4,GEO_F3&4,0
G13,3_4,HIS_F3&4,0
G13,3_4,ICT_F3&4,0
G13,3_4,MTH_F3&4,49.04
G13,3_4,PED_F3&4,0
G13,3_4,PHY_F3&4,38.87
G13,3_4,RE_F3&4,72.83
G14,1,ART_F1,73.33
G14,1,COMP SC_F1,81.48
G14,1,ELA_F1,78.76
G14,1,FRE_F1,79.9
G14,1,GEO_F1,81.67
G14,1,HIS_F1,81.05
G14,1,MTH_F1,78.72
G14,1,RE_F1,88.7
G14,1,SCI_F1,77.67
G14,1,SH_F1,61.67
G14,2,ART_F2,62.77
G14,2,COMP SC_F2,75
G14,2,ELA_F2,61.67
G14,2,FRE_F2,62.16
G14,2,GEO_F2,78.28
G14,2,HIS_F2,76.33
G14,2,MTH_F2,81.41
G14,2,RE_F2,92.67
G14,2,SCI_F2,73.33
G14,2,SH_F2,65.67
G14,3_4,ACC_F3&4,62.17
G14,3_4,ART_F3&4,0
G14,3_4,BIOL_F3&4,53.65
G14,3_4,BST_F3&4,0
G14,3_4,CHEM_F3&4,62.75
G14,3_4,COMP SC_F3&4,0
G14,3_4,D&T_F3&4,0
G14,3_4,ELA_F3&4,51.33
G14,3_4,ELIT_F3&4,40.42
G14,3_4,FRE_F3&4,56.7
G14,3_4,GEO_F3&4,0
G14,3_4,HIS_F3&4,0
G14,3_4,ICT_F3&4,72.77
G14,3_4,MTH_F3&4,70.8
G14,3_4,PED_F3&4,0
G14,3_4,PHY_F3&4,54
G14,3_4,RE_F3&4,76.87
G15,1,ART_F1,63.67
G15,1,COMP SC_F1,77.83
G15,1,ELA_F1,70.21
G15,1,FRE_F1,66.95
G15,1,GEO_F1,59.17
G15,1,HIS_F1,66.92
G15,1,MTH_F1,63.66
G15,1,RE_F1,63
G15,1,SCI_F1,66.67
G15,1,SH_F1,51.67
G15,2,ART_F2,47
G15,2,COMP SC_F2,64.7
G15,2,ELA_F2,68.64
G15,2,FRE_F2,50.12
G15,2,GEO_F2,63.62
G15,2,HIS_F2,63.33
G15,2,MTH_F2,41.89
G15,2,RE_F2,53.33
G15,2,SCI_F2,58.7
G15,2,SH_F2,51
G15,3_4,ACC_F3&4,0
G15,3_4,ART_F3&4,0
G15,3_4,BIOL_F3&4,0
G15,3_4,BST_F3&4,52.56
G15,3_4,CHEM_F3&4,0
G15,3_4,COMP SC_F3&4,0
G15,3_4,D&T_F3&4,48.43
G15,3_4,ELA_F3&4,49.07
G15,3_4,ELIT_F3&4,26.75
G15,3_4,FRE_F3&4,0
G15,3_4,GEO_F3&4,58.22
G15,3_4,HIS_F3&4,41.18
G15,3_4,ICT_F3&4,25.57
G15,3_4,MTH_F3&4,36.18
G15,3_4,PED_F3&4,0
G15,3_4,PHY_F3&4,40.82
G15,3_4,RE_F3&4,54.92
G16,1,ART_F1,67
G16,1,COMP SC_F1,86.67
G16,1,ELA_F1,65.12
G16,1,FRE_F1,66.64
G16,1,GEO_F1,58.67
G16,1,HIS_F1,61.81
G16,1,MTH_F1,73.65
G16,1,RE_F1,68
G16,1,SCI_F1,65
G16,1,SH_F1,64.33
G16,2,ART_F2,63.63
G16,2,COMP SC_F2,75.47
G16,2,ELA_F2,64.13
G16,2,FRE_F2,48.43
G16,2,GEO_F2,69.32
G16,2,HIS_F2,64.43
G16,2,MTH_F2,76.11
G16,2,RE_F2,63.57
G16,2,SCI_F2,63.07
G16,2,SH_F2,56.92
G16,3_4,ACC_F3&4,40.38
G16,3_4,ART_F3&4,0
G16,3_4,BIOL_F3&4,0
G16,3_4,BST_F3&4,0
G16,3_4,CHEM_F3&4,57.89
G16,3_4,COMP SC_F3&4,56.79
G16,3_4,D&T_F3&4,56.51
G16,3_4,ELA_F3&4,59.25
G16,3_4,ELIT_F3&4,48.64
G16,3_4,FRE_F3&4,54.24
G16,3_4,GEO_F3&4,0
G16,3_4,HIS_F3&4,0
G16,3_4,ICT_F3&4,0
G16,3_4,MTH_F3&4,51.14
G16,3_4,PED_F3&4,0
G16,3_4,PHY_F3&4,58.18
G16,3_4,RE_F3&4,64.28
G17,1,ART_F1,58.67
G17,1,COMP SC_F1,83.52
G17,1,ELA_F1,56.44
G17,1,FRE_F1,68.26
G17,1,GEO_F1,70.33
G17,1,HIS_F1,62.14
G17,1,MTH_F1,68.68
G17,1,RE_F1,63.67
G17,1,SCI_F1,60
G17,1,SH_F1,38.33
G17,2,ART_F2,56.5
G17,2,COMP SC_F2,76
G17,2,ELA_F2,56.89
G17,2,FRE_F2,69.84
G17,2,GEO_F2,68.36
G17,2,HIS_F2,70.43
G17,2,MTH_F2,82.78
G17,2,RE_F2,69.29
G17,2,SCI_F2,72.55
G17,2,SH_F2,39.6
G17,3_4,ACC_F3&4,70.69
G17,3_4,ART_F3&4,0
G17,3_4,BIOL_F3&4,0
G17,3_4,BST_F3&4,0
G17,3_4,CHEM_F3&4,52.57
G17,3_4,COMP SC_F3&4,74.63
G17,3_4,D&T_F3&4,74.22
G17,3_4,ELA_F3&4,60.38
G17,3_4,ELIT_F3&4,65.34
G17,3_4,FRE_F3&4,49.83
G17,3_4,GEO_F3&4,0
G17,3_4,HIS_F3&4,0
G17,3_4,ICT_F3&4,0
G17,3_4,MTH_F3&4,76.09
G17,3_4,PED_F3&4,0
G17,3_4,PHY_F3&4,60.26
G17,3_4,RE_F3&4,64.93
